Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Marcus,Göransson,Strandgatan 645,Karlstad,95511,Sverige,SE,19730105-2106,+46,+46 (0)8 430 976 40,1973-01-05,True
Karl,Sjöberg,Parkstigen 444,Motala,14951,Sverige,SE,19430107-5509,+46,+46 (0)8 120 453 95,1943-01-07,True
Knut,Karlsson,Grangatan 9,Linköping,28776,Sverige,SE,19500201-1366,+46,0717-513 71,1950-02-01,True
Karl,Larsson,Idrottsgränd 9,Kalmar,18277,Sverige,SE,19611215-9551,+46,0497-53 44 46,1961-12-15,True
Viola,Jonsson,Kyrktorget 3,Borlänge,92720,Sverige,SE,19680308-6572,+46,+46 (0)07 38 00 29,1968-03-08,True
Leif,Lindahl,Industrivägen 97,Karlskoga,80292,Sverige,SE,19740401-5250,+46,08-340 644 45,1974-04-01,True
Antero,Saarinen,Yrjö-Koskisen polku 18,Kuopio,43268,Finland,FI,19470315-032V,+358,(+358) 810665482,1947-03-15,True
Ari,Nieminen,Urpubulevardi 67,Ilmajoki,59785,Finland,FI,19670225-7763,+358,078 648 2138,1967-02-25,True
Ola,Johnsson,Skolgränd 46,Södertälje,82406,Sverige,SE,19590704-8944,+46,+46 (0)202 658 48,1959-07-04,True
Josefin,Gustavsson,Nygatan 1,Gävle,43616,Sverige,SE,19950923-3288,+46,0138-255 96,1995-09-23,True
Sven,Larsson,Idrottsvägen 6,Kristianstad,88521,Sverige,SE,19460414-2863,+46,025-92 45 72,1946-04-14,True
Gunn,Nielsen,Sandvikgjerdet 5,Pettersen,6141,Norge,NO,19750626-4650,+47,933 39 110,1975-06-26,True
Erik,Olsson,Villatorget 33,Umeå,28683,Sverige,SE,19720509-5952,+46,+46 (0)8 938 816 95,1972-05-09,True
Meghan,Allen,Tyrone Rest 280,Lake Michaelshire,62127,Danmark,DK,19421016-7925,+45,867.831.4867,1942-10-16,True
Brita,Andersson,Bäckgatan 8,Västerås,10493,Sverige,SE,19970413-3224,+46,08-59 22 71,1997-04-13,True
Ola,Berntsen,Ellingsenhøgda 9A,Jørgensen,2853,Norge,NO,19451221-6256,+47,42365410,1945-12-21,True
Anders,Petersson,Furutorget 710,Lund,25530,Sverige,SE,19930313-4036,+46,071-396 82 04,1993-03-13,True
Gustav,Månsson,Parkvägen 6,Gävle,41572,Sverige,SE,19970208-4245,+46,048-934 42 93,1997-02-08,True
Robert,Willis,Janet Way 60962,New Markberg,74976,Danmark,DK,19631107-3683,+45,927.480.1120,1963-11-07,True
Elin,Johansen,Eriksengjerdet 08,Julievik,1607,Norge,NO,19400528-2449,+47,+47 09 69 77 94,1940-05-28,True
Eugene,Brandt,Eric Port 0852,Justinchester,29326,Danmark,DK,19570617-9342,+45,728.369.1917x171,1957-06-17,True
Knut,Aune,Myhretoppen 21,Berge,1294,Norge,NO,19650418-6661,+47,490 98 219,1965-04-18,True
Anna,Svensson,Parkgränd 41,Uppsala,68828,Sverige,SE,19710830-4908,+46,+46 (0)368 019 16,1971-08-30,True
Lasse,Honkanen,Sapilaskuja 001,Hyvinkää,75166,Finland,FI,19400926-255S,+358,+358 35 4496918,1940-09-26,True
Göran,Skoglund,Furuvägen 90,Nyköping,79309,Sverige,SE,19411210-2102,+46,08-785 52 46,1941-12-10,True
Anita,Nilsen,Nygårdstranda 2,Martinstrand,1926,Nhrge,NO,19830215-6871,+47,984 64 449,1983-02-15,True
Lisa,Sanders,Baird Square 715,South Kelsey,42258,Danmark,DK,19950503-4493,+45,+1-562-816-7876,1995-05-03,True
Mats,Olsson,Furugatan 103,Varberg,10368,Sverige,SE,19630707-0957,+46,08-000 997 20,1963-07-07,True
Sune,Gustafsson,Kvarnvägen 0,Växjö,74061,Sverige,SE,19540316-0523,+46,+46 (0)8 107 327 10,1954-03-16,True
Anneli,Parkkinen,Iltaruskonkuja 978,Honkajoki,29071,Finland,FI,19820505-313K,+358,(+358) 738991875,1982-05-05,True
Jennifer,Phillips,Maria Alley 606,South Robin,20426,Danmark,DK,19680720-6823,+45,221.324.4469x553,1968-07-20,True
Kurt,Karlsson,Industristigen 24,Gävle,52856,Sverige,SE,19791101-6607,+46,08-001 158 38,1979-11-01,True
Tor,Tveit,Pedersenengen 2D,Elisabethvik,8352,Norge,NO,19871105-7809,+47,95593866,1987-11-05,True
Synnøve,Knutsen,Pettersenkollen 9,Ødegård,1150,Norge,NO,19920531-9797,+47,+4707466859,1992-05-31,True
Heidi,Lund,Andreassenrøa 82,Kristianodden,6557,Norge,NO,19480101-4848,+47,967 75 989,1948-01-01,True
Espen,Haugland,Svendsenekra 2A,Leifvik,3701,Norge,NO,19400508-8102,+47,+47 14 19 69 31,1940-05-08,True
Brittany,Larson,Summers Plaza 0871,Lake Whitneyside,73700,Danmark,DK,19790404-6094,+45,001-273-649-7437x15566,1979-04-04,True
Kristina,Lindström,Villagatan 14,Karlskrona,98219,Sverige,SE,19641009-3764,+46,08-243 85 78,1964-10-09,True
Jens,Ahmed,Larsenlia 66,Øyvindfjell,9459,Norge,NO,19691210-3813,+47,904 34 822,1969-12-10,True
Anton,Blomqvist,Villavägen 1,Lidköping,37403,Sverige,SE,19560403-8397,+46,0527-60 39 86,1956-04-03,True
Sara,Eriksson,Villagatan 6,Sundsvall,72581,Sverige,SE,19940505-8421,+46,+46 (0)8 818 644 71,1994-05-05,True
Henrik,Eriksson,Parkstigen 6,Södertälje,96313,Sverige,SE,19420721-1058,+46,009-369 73 39,1942-07-21,True
Arne,Gustafsson,Björktorget 24,Alingsås,82515,Sverige,SE,19510205-7302,+46,08-226 12 18,1951-02-05,True
Ann-Mari,Karlsson,Trädgårdsvägen 902,Skövde,19386,Sverige,SE,19600516-2184,+46,016-91 43 24,1960-05-16,True
Lars,Hauge,Amundsenlunden 6,Norasand,9004,Norge,NO,19650405-5937,+47,43214561,1965-04-05,True
Gunnar,Andersson,Ringgränd 32,Stockholm,67876,Sverige,SE,19750531-1951,+46,+46 (0)8 154 778 70,1975-05-31,True
Fredrik,Gustafsson,Bäckstigen 811,Trelleborg,94840,Sverige,SE,19470204-2016,+46,010-86 94 31,1947-02-04,True
Elisabet,Blomqvist,Järnvägsstigen 58,Varberg,86850,Sverige,SE,19890515-9197,+46,0667-505 58,1989-05-15,True
